My Rank,ADP,Name,Pos,Team,Bye,SoS
112,138,Alexander Mattison,RB,MIN,12,8
169,139,Damien Harris,RB,NE,10,5
111,140,Justin Jackson,RB,LAC,12,26
125,141,Jamison Crowder,WR,NYJ,4,28
152,142,Delanie Walker,TE,TEN,11,1
126,143,Justice Hill,RB,BAL,8,1
161,144,Minnesota Defense,DEF,MIN,12,28
162,145,Darwin Thompson,RB,KC,12,32
106,146,Dak Prescott,QB,DAL,8,20
170,147,Cleveland Defense,DEF,CLE,7,14
171,148,Devin Funchess,WR,IND,6,12
107,149,Kirk Cousins,QB,MIN,12,16
79,150,Tony Pollard,RB,DAL,8,25
163,152,Jordan Reed,TE,WAS,10,29
151,154,Michael Gallup,WR,DAL,8,9
110,155,Mecole Hardman,WR,KC,12,30
153,156,Dion Lewis,RB,TEN,11,16
109,157,John Brown,WR,BUF,6,17
164,158,Kyle Rudolph,TE,MIN,12,24
146,159,Jimmy Garoppolo,QB,SF,4,6
108,160,Mark Andrews,TE,BAL,8,5
154,161,Greg Olsen,TE,CAR,7,28
172,162,Houston Defense,DEF,HOU,10,32
173,164,Trey Burton,TE,CHI,6,16
165,166,Adam Humphries,WR,TEN,11,31
174,168,Jimmy Graham,TE,GB,11,19
166,169,Ito Smith,RB,ATL,9,31
175,171,Dallas Defense,DEF,DAL,8,24
114,172,Josh Allen,QB,BUF,6,12
127,173,Mitch Trubisky,QB,CHI,6,15
176,176,Jerick McKinnon,RB,SF,4,3
145,177,Deebo Samuel,WR,SF,4,3
144,179,CJ Anderson,RB,DET,5,11
155,181,Dallas Goedert,TE,PHI,10,30
177,183,Denver Defense,DEF,DEN,10,21
128,184,Derek Carr,QB,OAK,6,22
147,188,Matthew Stafford,QB,DET,5,30
143,189,New England Defense,DEF,NE,10,4
150,190,Sam Darnold,QB,NYJ,4,18
178,191,Philadelphia Defense,DEF,PHI,10,9
149,193,Pittsburgh Defense,DEF,PIT,7,8
179,194,Buffalo Defense,DEF,BUF,6,27
156,198,New Orleans Defense,DEF,NO,9,2
