,GP,Fan Pts,Yards,Touchdowns,Rec
Rex Burkhead,13,91,581,3,27
Phillip Dorsett II,14,86,418,5,29
Allen Lazard,16,90,498,3,35
Tyler Eifert,16,88,436,3,43
Marcus Mariota,7,85,1332,7,0
Demarcus Robinson,16,87,449,4,32
Alex Erickson,16,86,588,0,43
Kareem Hunt,8,84,464,3,37
Kendrick Bourne,16,85,358,5,30
Cody Latimer,15,84,300,2,24
Joe Flacco,8,82,1842,6,0
Jimmy Graham,16,82,447,3,38
Ryan Griffin,13,87,320,5,34
Willie Snead IV,16,82,341,5,31
Auden Tate,12,81,575,1,40
John Ross III,8,81,510,3,28
Jaylen Samuels,14,80,515,2,47
Preston Williams,8,82,428,3,32
Kerryon Johnson,8,79,530,4,10
Pharoh Cooper,12,79,245,1,25
Chase Edmonds,13,82,408,5,12
Taylor Gabriel,9,76,373,4,29
Jalen Richard,16,75,468,0,36
Dwayne Haskins Jr.,9,75,1466,7,0
Nelson Agholor,11,75,370,3,39
Jacob Hollister,11,77,349,3,41
Cameron Brate,16,73,311,4,36
Russell Gage,16,75,458,1,49
Chris Thompson,11,73,516,0,42
Rashaad Penny,10,73,453,4,8
Keelan Cole,16,73,367,3,24
Brandon Bolden,15,85,179,4,9
Adam Humphries,12,72,375,2,37
Jordan Akins,16,72,418,2,36
Cordarrelle Patterson,16,77,186,0,11
Gerald Everett,13,71,408,2,37
Marquez Valdes-Scantling,16,72,461,2,26
Eric Ebron,11,72,375,3,31
Ted Ginn Jr.,16,71,439,2,30
Blake Jarwin,16,74,365,3,31
Tajae Sharpe,15,69,329,4,25
Dare Ogunbowale,16,71,303,2,35
Albert Wilson,13,68,416,1,43
J.D. McKissic,16,68,438,1,34
Demaryius Thomas,11,67,433,1,36
Drew Lock,5,67,1092,7,0
Allen Hurns,14,69,416,2,32
O.J. Howard,14,71,459,1,34
Dawson Knox,15,66,397,2,28
T.J. Hockenson,12,65,367,2,32
Jakeem Grant,10,68,169,1,19
Vance McDonald,14,66,275,3,38
Olabisi Johnson,16,65,300,3,31
Tre'Quan Smith,11,63,234,5,18
Will Dissly,6,64,269,4,23
Alexander Mattison,13,62,544,1,10
Brian Hill,12,65,392,3,10
Hayden Hurst,16,62,349,2,30
