Manager,Week,Pos,,% Start,Pass Yds,Pass TD,Int,Att*,Rush Yds,Rush TD,Tgt*,Rec,Rec Yds,Rec TD,Ret Yds,Ret TD,2PT,Fum Lost
,,Pos,Kickers,Field Goals Made,,,,,Field Goals Missed,,,PAT,,,,,,
,,Pos,Kickers,0-19,20-29,30-39,40-49,50+,0-19,20-29,30-39,Made,,,,,,
,,Pos,Defense/Special Teams,,Tackles,,Turnovers,,TD,Miscellaneous,,,,,,,,
,,Pos,Defense/Special Teams,Pts vs.,Sack,Safe,Int,Fum Rec,TD,Blk Kick,4 Dwn Stops,Yds Allow*,3 And Outs,,,,,
,,Pos,Defensive Players,Return,,Tackles,,,,,Misc,,Turnovers,,,,TD,
,,Pos,Defensive Players,Yds,TD,Tack Solo,Tack Ast,TFL,Sack,Safe,Pass Def,Blk Kick,Int,Fum Force,Fum Rec,Ret Yds,TD,
Tyler,11,TE,Mark Andrews Bal - TE,83%,0,0,0,0,0,0,4,4,75,1,0,0,0,0
Tyler,11,W/R/T,David Montgomery Chi - RB,47%,0,0,0,14,31,0,3,1,19,0,0,0,0,0
Tyler,11,BN,JuJu Smith-Schuster Pit - WR,75%,0,0,0,0,0,0,4,2,21,0,0,0,0,0
Tyler,11,BN,Jamaal Williams GB - RB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,11,BN,Davante Adams GB - WR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,11,BN,Kareem Hunt Cle - RB,37%,0,0,0,6,12,0,8,6,46,0,0,0,0,0
Tyler,11,BN,Jacob Hollister Sea - TE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,11,K,Wil Lutz NO - K,0,1,0,1,0,0,0,0,4
Tyler,11,DEF,New England NE - DEF,10,5,0,0,1,0,0,1,255,4
Tyler,11,D,Jordan Hicks Ari - LB,0,0,8,4,2,1,0,1,0,1,0,0,48,0,
Tyler,11,D,Shaq Thompson Car - LB,0,0,2,3,1,0,0,1,0,0,0,0,0,0,
Tyler,11,D,Jerome Baker Mia - LB,0,0,5,7,0,0,0,0,0,0,0,0,0,0,
Tyler,11,DB,Jamal Adams NYJ - S,0,0,4,0,3,3,0,0,0,0,0,0,0,0,
Tyler,11,DB,Taylor Rapp LAR - S,0,0,7,1,1,0,0,1,0,0,0,0,0,0,
Tyler,11,BN,Jabrill Peppers NYG - S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,10,QB,Kirk Cousins Min - QB,43%,220,2,0,1,5,0,0,0,0,0,0,0,1,0
Tyler,10,QB,Josh Allen Buf - QB,40%,266,0,0,6,28,2,0,0,0,0,0,0,0,0
Tyler,10,WR,JuJu Smith-Schuster Pit - WR,76%,0,0,0,0,0,0,5,3,44,0,0,0,0,0
Tyler,10,WR,Davante Adams GB - WR,94%,0,0,0,0,0,0,10,7,118,0,0,0,0,0
Tyler,10,WR,Marvin Jones Jr. Det - WR,56%,0,0,0,0,0,0,6,5,77,0,0,0,0,0
Tyler,10,RB,Josh Jacobs Oak - RB,92%,0,0,0,16,71,1,5,3,30,0,0,0,0,0
Tyler,10,RB,Jamaal Williams GB - RB,50%,0,0,0,13,63,0,1,0,0,0,0,0,0,0
Tyler,10,TE,Mark Andrews Bal - TE,77%,0,0,0,0,0,0,8,6,53,2,0,0,0,0
Tyler,10,W/R/T,David Montgomery Chi - RB,81%,0,0,0,17,60,0,0,0,0,0,0,0,0,0
Tyler,10,BN,Austin Ekeler LAC - RB,76%,0,0,0,6,19,0,2,2,29,1,0,0,0,0
Tyler,10,BN,DJ Chark Jr. Jax - WR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,10,BN,Tony Pollard Dal - RB,1%,0,0,0,1,4,0,0,0,0,0,0,0,0,0
Tyler,10,BN,Kareem Hunt Cle - RB,21%,0,0,0,4,30,0,9,7,44,0,0,0,0,0
Tyler,10,BN,Chris Herndon NYJ - TE,12%,0,0,0,0,0,0,2,1,7,0,0,0,0,0
Tyler,10,K,Wil Lutz NO - K,0,2,0,1,0,0,0,0,0
Tyler,10,DEF,New York NYG - DEF,28,2,0,0,0,0,0,0,294,4
Tyler,10,BN,New England NE - DEF,0,0,0,0,0,0,0,0,0,0
Tyler,10,D,Jordan Hicks Ari - LB,0,0,6,3,1,0,0,1,0,1,0,0,2,0,
Tyler,10,D,Danny Trevathan Chi - LB,0,0,2,1,0,0,0,0,0,0,0,0,0,0,
Tyler,10,D,Shaq Thompson Car - LB,0,0,3,1,1,0,0,0,0,0,0,0,0,0,
Tyler,10,DB,Jamal Adams NYJ - S,0,0,8,1,0,2,0,1,0,0,2,1,25,1,
Tyler,10,DB,Jabrill Peppers NYG - S,0,0,2,4,1,0,0,1,0,0,0,0,0,0,
